time	step	train_loss	lr	acc	smilarity
01-07 17:20	0	4.133064270019531	1.9990000000000002e-08	0.013693571510637553	0.01569303020070761
01-07 17:21	800	3.9719741344451904	8.011989999999973e-06	0.04161545522476807	0.03171615620167593
01-07 17:22	1600	3.754426956176758	9.975024999999961e-06	0.06491243514934499	0.051759827261169754
01-07 17:23	2400	3.851306438446045	9.95004999999996e-06	0.08321234741283029	0.06280040764846863
01-07 17:24	3200	3.699032783508301	9.92507499999996e-06	0.09409079249812716	0.07410819226732619
01-07 17:24	4000	3.612847328186035	9.90009999999996e-06	0.11069632177180466	0.08761549315964565
01-07 17:25	4800	3.498015880584717	9.87512499999996e-06	0.12577938241655345	0.09954131700289554
01-07 17:26	5600	3.3574538230895996	9.85014999999996e-06	0.13260742561551722	0.10358312749900879
01-07 17:27	6400	3.301711320877075	9.80019999999996e-06	0.1426739494036785	0.11475883796811104
01-07 17:28	7200	3.338205575942993	9.77522499999996e-06	0.16414740221924753	0.12475930374020185
01-07 17:29	8000	3.3611392974853516	9.750249999999961e-06	0.15494105778234454	0.12385734571860386
01-07 17:30	8800	3.3252267837524414	9.725274999999961e-06	0.16875237630637932	0.13437971940789462
01-07 17:31	9600	3.2013888359069824	9.70029999999996e-06	0.16244020787136604	0.13047964593920955
01-07 17:32	10400	3.316220283508301	9.67532499999996e-06	0.1733330386995417	0.13507988714636904
01-07 17:33	11200	3.0916078090667725	9.65034999999996e-06	0.16417923963876033	0.1314638982025477
01-07 17:34	12000	3.0471229553222656	9.60039999999996e-06	0.16501313736374235	0.13572128785726348
01-07 17:35	12800	3.072617769241333	9.57542499999996e-06	0.17054927433172565	0.13745218926133254
01-07 17:36	13600	2.988467216491699	9.550449999999959e-06	0.17177825728911214	0.13657937915279314
01-07 17:36	14400	2.983222484588623	9.52547499999996e-06	0.16873255965349823	0.13147203375895822
01-07 17:37	15200	2.7703776359558105	9.50049999999996e-06	0.15901144274861073	0.12980944395829466
01-07 17:38	16000	2.858241081237793	9.475524999999959e-06	0.15801539899911324	0.12884451878758577
