time	step	train_loss	lr	acc	smilarity
01-07 17:13	0	4.129032135009766	2.998e-08	0.01606618049019328	0.01567949845383947
01-07 17:14	400	4.0791168212890625	8.02198e-06	0.03256652383851746	0.024255440833094794
01-07 17:15	800	3.9557290077209473	9.975024999999987e-06	0.05561945296873231	0.04495814253982062
01-07 17:16	1200	3.874379873275757	9.950049999999986e-06	0.07215792624017513	0.057079508757362
01-07 17:17	1600	3.868408203125	9.925074999999986e-06	0.08147447157069433	0.06335056534944437
01-07 17:17	2000	3.618408203125	9.900099999999985e-06	0.08728001994546389	0.06929577629153548
01-07 17:18	2400	3.626408815383911	9.875124999999985e-06	0.10420034863169064	0.07918822168348691
01-07 17:19	2800	3.6390128135681152	9.850149999999984e-06	0.10649471902037724	0.08465409006636876
01-07 17:20	3200	3.513063430786133	9.800199999999985e-06	0.12978566778972953	0.09648940215508144
01-07 17:21	3600	3.7021002769470215	9.775224999999984e-06	0.11840238223027598	0.09632464803946326
01-07 17:22	4000	3.4340572357177734	9.750249999999985e-06	0.13450867138821979	0.10495666825236419
01-07 17:22	4400	3.299739360809326	9.725274999999985e-06	0.13904198188604944	0.10840795962856366
01-07 17:23	4800	3.2132315635681152	9.700299999999984e-06	0.14355523779822324	0.11307787025968234
01-07 17:24	5200	3.205977201461792	9.675324999999983e-06	0.14714903082754716	0.11737004342751625
01-07 17:25	5600	3.1983072757720947	9.650349999999983e-06	0.15156939224526683	0.12074708384581101
01-07 17:26	6000	3.501953125	9.600399999999984e-06	0.15273668212962815	0.12096899786056617
01-07 17:27	6400	3.260788679122925	9.575424999999983e-06	0.14657714366704225	0.11797259662013787
01-07 17:28	6800	3.1142418384552	9.550449999999982e-06	0.16639630101097405	0.12740366714887127
01-07 17:28	7200	3.3033447265625	9.525474999999984e-06	0.15877463820319931	0.12615144290985203
01-07 17:29	7600	3.2374751567840576	9.500499999999983e-06	0.16001977163448955	0.12769061947862304
01-07 17:30	8000	3.215087890625	9.475524999999982e-06	0.15330140638059855	0.12617531342384142
01-07 17:31	8400	3.1622023582458496	9.450549999999982e-06	0.1509022128825677	0.12210265757181706
01-07 17:32	8800	3.0897178649902344	9.400599999999982e-06	0.1590074049412992	0.1263747869584805
01-07 17:33	9200	3.1261162757873535	9.375624999999984e-06	0.13943107750704695	0.11453010972875813
01-07 17:34	9600	3.0086803436279297	9.350649999999985e-06	0.15205217597352919	0.12705398842883417
01-07 17:34	10000	2.9776785373687744	9.325674999999984e-06	0.15406046153298278	0.12786071671125213
01-07 17:35	10400	3.1923828125	9.300699999999984e-06	0.15062472636471996	0.12335246151838547
01-07 17:36	10800	2.946533203125	9.275724999999983e-06	0.14284463104618145	0.12230935253393956
01-07 17:37	11200	2.884413480758667	9.250749999999983e-06	0.15289774398638892	0.12207677530554625
01-07 17:38	11600	2.929067373275757	9.225774999999982e-06	0.15420358401386638	0.1247835269150061
01-07 17:39	12000	2.835041046142578	9.175824999999981e-06	0.14496992993003158	0.12002485885452001
01-07 17:40	12400	2.940701961517334	9.15084999999998e-06	0.14366813929177832	0.1196326348835077
01-07 17:40	12800	2.9405455589294434	9.12587499999998e-06	0.14809453186472263	0.11977398806275466
01-07 17:41	13200	2.755078077316284	9.10089999999998e-06	0.14763362687338955	0.11948163721423882
01-07 17:42	13600	2.784536361694336	9.07592499999998e-06	0.13599844402540073	0.11122450342354102
